RxNorm (RxCUI),Ingredient Name,Form,Supplemental information,Personal Protective Equipment,DailyMed,DrugBank
282388,imatinib,oral capsule,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=imatinib,http://www.drugbank.ca/drugs/DB00619
51499,irinotecan,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=irinotecan,http://www.drugbank.ca/drugs/DB00762
1723735,ixazomib,oral capsule,Male and female patientsof childbearing potential must use effective contraceptive measures during and for 3 months following treatment,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fcef9088-ebab-4bd8-933f-c35f9c8bd50b,http://www.drugbank.ca/drugs/DB09570
337523,ixabepilone,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e7992f6b-279b-46a7-b9c3-fea4e17718dc,http://www.drugbank.ca/drugs/DB04845
72965,letrozole,oral tablet,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=letrozole,http://www.drugbank.ca/drugs/DB01006
42375,leuprolide,injectable,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=leuprolide,http://www.drugbank.ca/drugs/DB00007
6466,lomustine,oral capsule,IARC Group 2A carcinogen; NTP***; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=lomustine,http://www.drugbank.ca/drugs/DB01206
6674,mechlorethamine,injectable & topical,NTP***; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=mechlorethamine,http://www.drugbank.ca/drugs/DB00888
6703,megestrol,oral tablet,Nursing should be dis-continued if megestrol is required; women at risk of pregnancy should avoid exposure; FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=megestrol,http://www.drugbank.ca/drugs/DB00351
6718,melphalan,oral tablet,IARC Group 1 carcinogen;NTP**; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=melphalan,http://www.drugbank.ca/drugs/DB01042
103,mercaptopurine,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=mercaptopurine,http://www.drugbank.ca/drugs/DB01033
6851,methotrexate,oral tablet & injectable,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=methotrexate,http://www.drugbank.ca/drugs/DB00563
632,mitomycin,injectable & Ophthalmic,IARC Group 2B; FDA Preg nancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=mitomycin,http://www.drugbank.ca/drugs/DB00305
7004,mitotane,oral tablet,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e9fba7d4-a0ec-4bfa-9b5b-ec97a9710fd3,http://www.drugbank.ca/drugs/DB00648
7005,mitoxantrone,injectable,IARC Group 2B; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=mitoxantrone,http://www.drugbank.ca/drugs/DB01204
274771,nelarabine,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=893c95d7-d9b6-4064-db97-91dd21ce7e40,http://www.drugbank.ca/drugs/DB01280
662281,nilotinib,oral capsule,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6093952a-5248-45cb-ad17-33716a411146,http://www.drugbank.ca/drugs/DB04868
1546446,omacetaxine,????,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=83a504ef-cf92-467d-9ecf-d251194a3484,http://www.drugbank.ca/drugs/DB04865
32592,oxaliplatin,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=oxaliplatin,http://www.drugbank.ca/drugs/DB00526
56946,paclitaxel,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=paclitaxel,http://www.drugbank.ca/drugs/DB01229
1603350,panobinostat,oral capsule,Special warnings on contraception for females while taking and 1 month post-treatment;,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7774972a-eeaa-4b9a-9e56-3fc1b968e86a,http://www.drugbank.ca/drugs/DB06603
714438,pazopanib,oral tablet,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f5b7b3a4-c3a4-4722-8ca5-8f6a5c622553,http://www.drugbank.ca/drugs/DB06589
68446,pemetrexed,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f5a860f3-37ec-429c-ae04-9c88d7c55c08,http://www.drugbank.ca/drugs/DB00642
8011,pentostatin,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=pentostatin,http://www.drugbank.ca/drugs/DB00552
1298944,pertuzumab,injectable,"Black Box warning on embryo-fetal death and birth defects; FDA Preg-	nancy Category D",,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17f85d17-ab71-4f5b-9fe3-0b8c822f69ff,http://www.drugbank.ca/drugs/DB06366
8347,pipobroman,????,FDA Pregnancy Category D,,,http://www.drugbank.ca/drugs/DB00236
1369713,pomalidomide,oral capsule,Females of reproductive potential must use two forms of contraception or continuously abstain from heterosexual sex during and for 4 weeks after        stopping treatment; FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b25ef01-5c9e-11e1-b86c-0800200c9a66,http://www.drugbank.ca/drugs/DB08910
1364347,ponatinib,oral tablet,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=807f988e-117b-4497-934d-73aa78baac71,http://www.drugbank.ca/drugs/DB08901
662019,pralatrexate,injection,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5e4cf15b-bf7b-4b83-863e-e9ef27741a51,http://www.drugbank.ca/drugs/DB06813
8702,procarbazine,oral capsule,"IARC Group 2A carcinogen; NTP***; FDA Pregnancy	Category D",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=procarbazine,http://www.drugbank.ca/drugs/DB01168
1312397,regorafenib,oral tablet,Black Box warning onsevere and sometimes fatal hepatotoxicity; total loss of pregnancy at doses lower than recommended human dose; FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=824f19c9-0546-4a8a-8d8f-c4055c04f7c7,http://www.drugbank.ca/drugs/DB08896
877510,romidepsin,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=romidepsin,http://www.drugbank.ca/drugs/DB06176
495881,sorafenib,oral tablet,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b50667e4-5ebc-4968-a646-d605058dbef0,http://www.drugbank.ca/drugs/DB00398
10114,streptozocin,injectable,IARC Group 2B; NTP***; FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=15d161ed-9e7b-4c92-ba45-0556d2423e67,http://www.drugbank.ca/drugs/DB00428
357977,sunitinib,oral capsule,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=43a4d7f8-48ae-4a63-9108-2fa8e3ea9d9c,http://www.drugbank.ca/drugs/DB01268
10324,tamoxifen,oral tablet,IARC Group 1 carcinogen; NTP**; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=tamoxifen,http://www.drugbank.ca/drugs/DB00675
37776,temozolomide,oral capsule,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=temozolomide,http://www.drugbank.ca/drugs/DB00853
657797,temsirolimus,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=95b7dc92-2180-42f1-8699-3c28f609e674,http://www.drugbank.ca/drugs/DB06287
10362,teniposide,injectable,IARC Group 2A carcinogen; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f19cf6d7-a1c8-42ec-844c-c798512139d9,http://www.drugbank.ca/drugs/DB00444
10485,thioguanine,oral| tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4490128b-e73f-4849-9d6e-e8591639d771,http://www.drugbank.ca/drugs/DB00352
10473,thiotepa,oral| tablet & injectable,"IARC Group 1 carcinogen; NTP**; FDA Pregnancy Category D	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=thiotepa,http://www.drugbank.ca/drugs/DB04572
57308,topotecan,oral tablet & injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=topotecan,http://www.drugbank.ca/drugs/DB01030
38409,toremifene,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=toremifene,http://www.drugbank.ca/drugs/DB00539
1425099,trametinib,oral tablet,Embryotoxic and abortifacient at doses less than rec-ommended human dose;FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aeaf0430-f8ad-4e72-9dbf-1954503c3410,http://www.drugbank.ca/drugs/DB08911
1670310,trifluridine/tipiracil (combina-tion only),oral tablet,Embryo-fetal lethality andembryo-fetal toxicity atdoses lower than or similarto exposures at the recom-mended human dose,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f5beed22-d71d-4c0d-8dca-2c7317d65d85,http://www.drugbank.ca/drugs/DB00432; http://www.drugbank.ca/drugs/DB09343
38782,triptorelin,oral tablet & injectable,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=triptorelin,http://www.drugbank.ca/drugs/DB06825
31435,valrubicin,injectable,FDA Pregnancy Category C,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e96f30a0-6662-11de-8f80-0002a5d5c51b,http://www.drugbank.ca/drugs/DB00385
1098413,vandetanib,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=vandetanib,http://www.drugbank.ca/drugs/DB05294
1147220,vemurafenib,oral tablet,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=38eea320-7e0c-485a-bc30-98c3c45e2763,http://www.drugbank.ca/drugs/DB08881
11198,vinblastine,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f073b58e-56d6-4c8d-a2ce-b37719402d77,http://www.drugbank.ca/drugs/DB00570
11202,vincristine,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=vincristine,http://www.drugbank.ca/drugs/DB00541
39541,vinorelbine,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=vinorelbine,http://www.drugbank.ca/drugs/DB00361
1242987,vismodegib,oral tablet,"Black Box warning onembryo-fetal death or severe birth defects; recommend effective contra-	ception for females during	therapy and for 7 months after treatment; present in semen; no sperm donation during and 3 months post-treatment; FDA Pregnancy	Category D",,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eb368bb6-80e3-4df9-8a85-91df0a2ada6a,http://www.drugbank.ca/drugs/DB08828
194337,vorinostat,oral tablet,Adverse embryo-fetaleffects at less than the recommended human dose;FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cd86ee78-2781-468b-930c-3c4677bcc092,http://www.drugbank.ca/drugs/DB02546
1304475,ziv-aflibercept,injectable,Embryotoxic and teratogenic in rabbits at expo-,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f6725df6-50ee-4b0a-b900-d02ba634395d,http://www.drugbank.ca/drugs/DB08885
190521,abacavir,oral tablet & injectable,FDA Pregnancy Category C;malignant tumors observedin male and female mice andrats; genotoxic in in vivo mi-cronucleus test,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=abacavir,http://www.drugbank.ca/drugs/DB01048
299635,alefacept,injectable,Increased frequency of malig-nancies observed in treatedpatients; FDA Pregnancy Category B,,https://dailymed.nlm.nih.gov/dailymed/archives/index.cfm?query=alefacept&date=,http://www.drugbank.ca/drugs/DB00092
1043,apomorphine,oral tablet & injectable,FDA Pregnancy Category C; genotoxic in several in vitro,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=apomorphine,http://www.drugbank.ca/drugs/DB00714
1256,azathioprine,oral tablet,IARC Group 1 carcinogen†;NTP**; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=azathioprine,http://www.drugbank.ca/drugs/DB00993
2002,carbamazepine,oral tablet & injectable,"Black Box warning for aplasticanemia; congenital malformations in offspring of mothers	who took drug; rapid transpla-	cental passage; FDA Pregnancy Category D*",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=carbamazepine,http://www.drugbank.ca/drugs/DB00564
2348,chloramphenicol,oral tablet & injectable,IARC Group 2A carcinogen;NTP***; FDA PregnancyCategory C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=chloramphenicol,http://www.drugbank.ca/drugs/DB00446
83171,cidofovir,injectable,FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=cidofovir,http://www.drugbank.ca/drugs/DB00369
3008,cyclosporine,oral tablet & injectable,IARC Group 1 carcinogen;NTP**; FDA PregnancyCategory C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=cyclosporine,http://www.drugbank.ca/drugs/DB00091
11645,deferiprone,oral tablet,Genotoxic in vitro and in vivo; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=deferiprone,http://www.drugbank.ca/drugs/DB08826
